Latin_Name,Common_Name,Family_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Additional_Characteristices_Notes
Magnolia grandiflora 'Little Gem',Little Gem Magnolia,Magnoliaceae,Tree (evergreen),"Summer,Fall",White,6.0,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0.0,Sidewalk,
"Magnolia grandiflora 'Majestic Beauty', 'Samuel Sommer'",Majestic Beauty/samuel Sommer Southern Magnolia,Magnoliaceae,Tree (evergreen),,,8.0,Exotic,,,,,Low,,,No,0.0,Sidewalk,
Magnolia grandiflora 'St. Mary',St. Mary Magnolia,Magnoliaceae,Tree (evergreen),"Summer,Fall",White,8.0,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0.0,Sidewalk,
Mahonia repens,Creeping Mahonia,Berberidaceae,Shrub (evergreen),"Spring,Summer",Yellow,1.0,CA Native,"Chaparral,Woodland","Sun,Part shade","Clay,Loam,Sand",,Low,Fruit,Birds;Butterflies,Yes,1.0,Sidewalk;Garden,
Dasylirion wheeleri,Desert Spoon,Nolinaceae,Succulent,Summer,White,2.0,Exotic,,Sun,,,,Pollinator,Butterflies,,,Garden,
Malva assurgentiflora,"Malva Rosa, Island Mallow",Malvaceae,Shrub (evergreen),"Spring,Summer,Winter",Pink,3.0,CA Native,Coastal scrub,Part shade,"Clay,Loam,Sand",,Low,Buds/greens,Butterflies;Insects,No,0.0,Garden,Attracts Grey Hairstreak (Strymon melinus) and Painted Lady (Vanessa cardui) butterflies.
Arctostaphylos spp.,Manzanita,Ericaceae,Shrub (evergreen),,,,CA Native,,Sun,,,Low,Pollinator,Birds;Bees,,,Garden,
Artemisia spp.,California Sagebrush,Asteraceae,Shrub (evergreen),,,2.0,CA Native,,Sun,,,,Pollinator,Birds;Bees,,,Garden,
Marah fabacea,Wild Cucumber/manroot,Cucurbitales,Vine,Spring,White,6.0,SF Native,"Coastal scrub,Dunes,Woodland","Sun,Part shade","Clay,Loam,Sand",,,Fruit,Birds,Yes,1.0,Garden,Attracts Scrub Jays.
Marah oregana,Coast Manroot,Cucurbitales,Vine,Spring,White,6.0,SF Native,Woodland,"Part shade,Shade","Clay,Loam,Sand",,Low,Fruit,Birds,Yes,1.0,Garden,Only one specimen in SF in John McLaren Park.
Cotinus spp.,Smoke Bush,Anacardiaceae,Shrub (evergreen),,,3.0,Exotic,,Sun,,,Low,"Cover,Nesting",,,,Garden,
Melaleuca quinquenervia,Cajeput Tree,Myrtaceae,Tree (evergreen),"Summer,Fall",White,8.0,Exotic,,Sun,"Clay,Loam,Sand",,Low,,,Yes,1.0,Sidewalk,"Grows fast, dense, irregular form, prefers wind protection."
Melaleuca styphelioides,Prickly Melaleuca,Myrtaceae,Tree (evergreen),"Spring,Summer",White,8.0,Exotic,,Sun,"Clay,Loam,Sand",,Low,,,Yes,1.0,Sidewalk,"Can root poorly, and prickly leaves."
Melica californica,California Melic ,Poaceae,Grass,Summer,Yellow,1.0,SF Native,"Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,,Fruit,Birds,Yes,1.0,Garden,"Requires moisture in growing season, then wants to be dry after flowering."
Melica torreyana,Torrey Melic,Poaceae,Grass,Spring,"Purple,Yellow",1.0,SF Native,Woodland,"Sun,Part shade","Clay,Loam,Rock",,Low,"Cover,Fruit,Nesting",Birds;Butterflies;Insects,No,0.0,Sidewalk;Garden,Best in rocky outcrops.
Metrosideros excelsa,New Zealand Christmas Tree,Myrtaceae,Tree (evergreen),"Spring,Summer,Fall,Winter",Red,8.0,Exotic,,Sun,"Loam,Sand",,Low,"Fruit,Pollinator",Bees;Birds;Butterflies;Insects,No,0.0,Sidewalk,Endures wind well and is a common SF street tree.
Mimulus aurantiacus,Sticky Monkeyflower,Phrymaceae,Shrub (evergreen),"Spring,Summer",Orange,1.0,SF Native,"Coastal scrub,Dunes,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Garden;Roof,"Plant in dry areas, endures wind well. Attracts Nutall's White-crowned Sparrow, Buckeye (Junonia coenia) and Variable Checkerspot (Euphydras chalcedona) butterflies, and Anna's Hummingbird."
Dodonaea viscosa,Hopseed Bush,Sapindaceae,Shrub (evergreen),,,3.0,Exotic,,Sun,,,Low,"Cover,Nesting",,,,Garden,
Monardella villosa,Coyote Mint,Lamiaceae,Perennial,Summer,Purple,1.0,SF Native,"Coastal scrub,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,,Pollinator,Bees;Butterflies;Hummingbirds,Yes,1.0,Garden;Roof,Prefer dry areas. Attracts Western Fence Lizard.
Morella californica,"California Wax Myrtle, Pacific Bayberry",Myricaceae,Shrub (evergreen),Summer,Yellow,6.0,SF Native,"Coastal scrub,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,Moderate,"Cover,Fruit,Nesting,Pollinator",Bees;Birds;Butterflies,Yes,1.0,Garden,Endures wind well. May grow as a single trunk standard tree.
Muhlenbergia rigens,Deer Grass,Poaceae,Grass,Spring,White,1.0,CA Native,Chaparral,"Sun,Part shade","Clay,Loam",,Low,Nesting,Bees;Birds;Butterflies,Yes,1.0,Garden;Roof,
Nepeta racemosa,Cat Mint,Lamiaceae,Perennial,Summer,Purple,0.2,Exotic,,Sun,"Clay,Loam,Sand",,Low,Pollinator,Bees;Butterflies;Hummingbirds,Yes,1.0,Sidewalk;Garden,
Oenanthe sarmentosa,"Ditch-carrot, Water Parsley",Apiaceae,Perennial,"Spring,Summer",White,1.0,SF Native,"Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam",,Moderate,Buds/greens,Insects,No,0.0,Garden,Wet grower.
Oenothera elata ssp. hookeri,Hooker's Evening Primrose,Onagraceae,Perennial,Summer,Yellow,2.0,SF Native,"Chaparral,Coastal scrub,Dunes,Woodland",Sun,"Clay,Loam,Sand",,,Pollinator,Bees;Birds;Butterflies;Hummingbirds;Insects,No,0.0,Garden;Sidewalk;Roof,"Resilient, gets weedy, self sows. Attracts Western fence lizard and Goldfinch."
Olea europaea,Olive Tree,Oleaceae,Tree (evergreen),,,8.0,Exotic,,Sun,,,,,,No,0.0,Sidewalk,"Needs a very large basin, prefers wind protection."
Penstemon centranthifolius,Scarlet Bugler,Plantaginaceae,Perennial,"Spring,Summer",Red,1.0,CA Native,Chaparral,Sun,Clay,,Low,Pollinator,Bees;Birds;Butterflies;Hummingbirds,No,0.0,Garden,
Penstemon heterophyllus,Penstemon,Plantaginaceae,Perennial,Summer,Indigo,1.0,CA Native,"Chaparral,Woodland","Sun,Part shade",Clay,,Low,Pollinator,Bees;Birds;Butterflies;Hummingbirds,Yes,1.0,Garden;Sidewalk;Roof,
Persicaria amphibia,Water Smartweed,Polygonaceae,Perennial,"Summer,Fall",Pink,1.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam,Sand",,Moderate,,Birds,No,0.0,Garden,
Persicaria lapathifolia,Common Knotweed,Polygonaceae,Annual,"Summer,Fall","Pink,White",1.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam",,Moderate,,Birds,No,0.0,Garden,
Persicaria punctata,Dotted Smartweed,Polygonaceae,Perennial,"Summer,Fall",White,1.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam",,Moderate,,Birds,No,0.0,Garden,Wet grower.
Phacelia californica,California Phacelia,Boraginaceae,Perennial,Summer,Purple,1.0,SF Native,"Chaparral,Coastal scrub",Sun,"Clay,Loam",,,"Buds/greens,Pollinator",Bees;Butterflies;Insects,Yes,1.0,Garden;Roof,Attracts endangered Mission Blue butterfly.
Phacelia malvifolia,Stinging Phacelia,Boraginaceae,Annual,"Spring,Summer",White,1.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade","Clay,Loam,Sand",,,Pollinator,Bees,No,0.0,Garden,
Phalaris californica,California Canarygrass,Poaceae,Grass,Spring,Magenta,1.0,SF Native,"Coastal scrub,Grassland/prairie,Wetland","Sun,Part shade","Clay,Loam",,Low,"Buds/greens,Cover,Fruit",Birds;Butterflies,No,0.0,Garden,"Rare in SF, but present on San Bruno mountain. Attracks Woodland Skipper (Ochlodes sylvanoides) butterfly."
Echium candicans,Pride Of Madeira,Boraginaceae,Shrub (evergreen),"Spring,Summer,Fall",Purple,3.0,Exotic,,Sun,"Loam,Sand",,Low,"Cover,Nesting,Pollinator",Birds;Butterflies,,,Garden,
Grevillea spp.,Grevillea,Proteaceae,Shrub (evergreen),,,1.0,Exotic,,"Sun,Part shade",,,Low,Pollinator,Birds;Bees,,,Garden,
Phoenix dactylifera,Date Palm,Arecaceae,Tree (evergreen),,,8.0,Exotic,,,,,Low,,,No,0.0,Sidewalk,Needs a large basin and wide sidewalk.
Pinus contorta var. contorta,Shore Pine,Pinaceae,Tree (evergreen),Spring,Brown,8.0,CA Native,Riparian,Sun,Loam,,Moderate,,Bees;Butterflies,No,0.0,Garden,
Pinus muricata,Bishop Pine,Pinaceae,Tree (evergreen) ,Spring,Orange,8.0,CA Native,Woodland,"Sun,Part shade",Loam,,Moderate,Buds/greens,Insects,No,0.0,Garden,
Rhamnus crocea,Redberry,Rhamnaceae,Shrub (evergreen),Winter,Yellow,1.0,SF Native,"Chaparral,Coastal scrub,Woodland","Sun,Part shade","Clay,Rock",,Low,"Fruit,Pollinator",Bees;Hummingbirds,Yes,1.0,Garden,
Pistacia chinensis 'Keith Davey',Keith Davey Chinese Pistache,Anacardiaceae,Tree (deciduous),,,8.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,"Prefers heat, wind protection."
Pittosporum crassifolium,Seaside Pittosporum,Pittosporaceae,Tree (evergreen),Spring,Red,6.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,Tolerates wind and fog. Can leak sap from trunk.
Pittosporum undulatum,Victorian Box,Pittosporaceae,Tree (evergreen),"Spring,Summer",White,8.0,Exotic,,"Sun,Part shade",,,,,,No,0.0,Sidewalk,"Can self-sow, take care when planting near natural areas."
Plantago elongata,Coastal Plantain,Plantaginaceae,Annual,Spring,Green,0.2,SF Native,"Riparian,Wetland","Sun,Part shade","Clay,Loam",,Moderate,Buds/greens,Butterflies,No,0.0,Garden,Attracts Common Buckeye (Junonia coenia) butterfly.
Plantago maritima,Seaside Plantain,Plantaginaceae,Perennial,"Spring,Summer",Brown,0.2,SF Native,"Coastal scrub,Dunes,Wetland","Sun,Part shade","Clay,Loam,Sand",,Low,Buds/greens,Butterflies;Insects,No,0.0,Garden,Succulent that grows on cliff faces and likes salt wind. Attracts Common Buckeye (Junonia coenia) butterfly.
Platanus x acerifolia,London Plane Tree,Platanaceae,Tree (deciduous),,,8.0,Exotic,,,,,Low,,,No,0.0,Sidewalk,"Prefers wind protection, Susceptible to anthracnose and powdery mildew."
Pluchea odorata,Salt Marsh Fleabane,Asteraceae,Perennial,"Summer,Fall",Purple,1.0,CA Native,Wetland,"Sun,Part shade","Clay,Loam,Sand",,Moderate,"Buds/greens,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden,
Podocarpus gracilior,Fern Pine,Podocarpaceae,Tree (evergreen),,,8.0,Exotic,,,,,Low,,,No,0.0,Sidewalk,"Better as a shrub, gets pests."
Polygonum paronychia,Beach/dune Knotweed,Polygonaceae,Perennial,"Spring,Summer",White,0.2,SF Native,Dunes,Sun,Sand,,,Cover,Butterflies,No,0.0,Sidewalk;Garden,
Polypodium californicum,Polypody Fern,Polypodiaceae,Fern,,,1.0,SF Native,"Coastal scrub,Woodland","Part shade,Shade","Clay,Loam,Sand,Rock",,Low,,No data,No,0.0,Sidewalk;Garden,
Clematis lasiantha,Pipestems; Chaparral Clematis,Ranunculaceae,Vine,Spring,White,6.0,CA Native,"Riparian,Woodland","Sun,Part shade","Clay,Loam",,Low,Cover,Birds;Butterflies,Yes,1.0,Garden,
Polystichum munitum,Western Sword Fern,Dryopteridaceae,Fern,,,1.0,SF Native,"Coastal scrub,Woodland","Part shade,Shade","Clay,Loam",,Moderate,,No data,Yes,1.0,Garden;Roof,
Populus nigra 'Italica',Lombardy Poplar,Salicaceae,Tree (deciduous),Winter,White,8.0,Exotic,,Sun,"Clay,Loam,Sand",,Moderate,Buds/greens,Butterflies;Insects,No,0.0,Garden,Attracts Lorquin's Admiral (Limenitis lorquini) butterfly.
Potentilla anserina ssp. pacifica,Silverweed,Rosaceae,Perennial,Spring,Yellow,0.2,SF Native,"Riparian,Wetland","Sun,Part shade","Clay,Loam,Sand",,Moderate,"Cover,Pollinator",Bees;Butterflies,No,0.0,Garden,
Prunella vulgaris var. lanceolata,Self Heal,Lamiaceae,Perennial,Summer,Purple,0.2,SF Native,"Riparian,Wetland",Part shade,"Clay,Loam",,Moderate,"Cover,Pollinator",Bees;Butterflies,Yes,1.0,Garden;Roof,
Prunus cerasifera 'Krauter Vesuvius',Krauter Vesuvius Plum,Rosaceae,Tree (deciduous),Spring,Purple,6.0,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0.0,Sidewalk;Garden,"Wind protection, susceptible to shot hole fungus."
Zeltnera venusta,Centaury,Gentianaceae,Annual,"Spring,Summer,Fall",Purple,1.0,CA Native,Chaparral,"Sun,Part shade","Clay,Loam",,,Fruit,Birds,No,0.0,Garden,
Prunus emarginata,Bitter Cherry,Rosaceae,Tree (deciduous),Spring,White,6.0,SF Native,"Chaparral,Coastal scrub,Woodland","Sun,Part shade","Clay,Loam",,Low,"Fruit,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden,"Too cool of a climate to set fruit, but spreads vegetatively.  Get from SF sources. Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta)."
Prunus ilicifolia,Holly Leaf Cherry/islay Cherry,Rosaceae,Tree (evergreen),"Spring,Winter",White,6.0,SF Native,"Chaparral,Woodland","Sun,Part shade","Clay,Loam",Structural pruning,,"Buds/greens,Cover,Fruit,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Cedar Waxwing, Western Tiger Swallowtail (Papilio rutulus), Anise Swallowtail (Papilio zelicaon)."
Prunus serrulata 'Kwanzan',Kwansan Japanese Flowering Cherry,Rosaceae,Tree (deciduous),Winter,"Pink,White",6.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk,Prefers wind protection .
Prunus subcordata,Sierra Plum,Rosaceae,Tree (deciduous),Winter,White,6.0,CA Native,Woodland,"Sun,Part shade","Clay,Loam,Sand",,Low,Fruit,Bees;Birds;Butterflies,No,0.0,Garden,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta)."
Prunus virginiana var. demissa,Western Chokecherry,Rosaceae,Tree (deciduous),Spring,White,6.0,SF Native,"Coastal scrub,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam",,Low,Fruit,Bees;Birds;Butterflies,Yes,1.0,Garden,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta)."
Pseudotsuga menziesii,Douglas Fir,Pinaceae,Tree (evergreen),Spring,Red,8.0,CA Native,Woodland,"Sun,Part shade","Clay,Loam,Sand,Rock",,Low,Nesting,Birds;Butterflies,No,0.0,Garden,Grow very large.
Pteridium aquilinum var. pubescens,Bracken Fern,Dennstaedtiaceae,Fern,,,1.0,SF Native,"Coastal scrub,Dunes,Woodland","Sun,Part shade","Clay,Loam,Sand",,Low,,No data,No,0.0,Garden;Roof,Grows everywhere – cosmopolitan fern.
Pyrus calleryana 'New Bradford',New Bradford Pear,Rosaceae,Tree (deciduous),Spring,White,8.0,Exotic,,Sun,"Clay,Sand",,Low,,Birds,No,0.0,Sidewalk;Garden,"Needs wind protection, susceptible to fireblight."
Pyrus kawakamii,Evergreen Pear,Rosaceae,Tree (evergreen),Spring,White,6.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk;Garden,"Plant in only warmest areas of city, semi-evergreen, leaf spot/fungus likely to occur and may cause premature leaf drop, does not flower well in our climate, susceptible to fireblight."
Quercus agrifolia,Coast Live Oak,Fagaceae,Tree (evergreen),"Spring,Winter",Yellow,8.0,SF Native,Woodland,"Sun,Part shade","Clay,Loam,Sand,Rock",,,"Cover,Nesting",Birds;Butterflies;Insects,Yes,1.0,Sidewalk;Garden,"Recommended especially for large spaces. Attracts California Sister (Adelpha bredowii californica), Propertius Dusky-Wing (Erynnis propertius), Mournful Dusky-Wing (Erynnis tristis), Chestnut-Backed Chickadee, Scrub Jays"
Quercus chrysolepis,Canyon Live Oak,Fagaceae,Tree (evergreen),Spring,Yellow,8.0,SF Native,Woodland,"Sun,Part shade","Clay,Loam",,,"Cover,Nesting",Birds;Butterflies;Insects,Yes,1.0,Garden,"Attracts California Sister (Adelpha bredowii californica), Propertius Dusky-Wing (Erynnis propertius), Mournful Dusky-Wing (Erynnis tristis)."
Quercus suber,Cork Oak,Fagaceae,Tree (evergreen),,,8.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk;Garden,"Needs a large basin, wide sidewalk."
Ranunculus californicus,California Buttercup,Ranunculaceae,Perennial,"Spring,Winter",Yellow,1.0,SF Native,"Coastal scrub,Riparian,Woodland","Sun,Part shade","Clay,Loam",,,Pollinator,Bees;Butterflies,No,0.0,Garden;Roof,
Ribes sanguineum var. glutinosum,Pink Flowering Currant,Grossulariaceae,Shrub (deciduous),"Spring,Winter",Pink,2.0,SF Native,"Coastal scrub,Dunes,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Fruit,Pollinator",Bees;Birds;Hummingbirds,Yes,1.0,Sidewalk;Garden,
Rosa californica,California Wild Rose,Rosaceae,Shrub (deciduous),"Spring,Summer",Pink,3.0,SF Native,"Chaparral,Coastal scrub,Grassland/prairie,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,Low,"Fruit,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden;Roof,
Rosa gymnocarpa,Wood Rose/dwarf Rose,Rosaceae,Shrub (deciduous),Spring,Pink,1.0,SF Native,"Chaparral,Coastal scrub,Grassland/prairie,Riparian,Woodland","Sun,Part shade","Clay,Loam",,Low,"Fruit,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden,
Rubus ursinus,California Blackberry,Rosaceae,Shrub (deciduous),"Spring,Winter",White,2.0,SF Native,"Chaparral,Coastal scrub,Dunes,Grassland/prairie,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,,"Cover,Fruit,Pollinator",Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Garden;Roof,With espalier can make attractive feature and good habitat. Attracts Nuttall's White-crowned Sparrow and Red Admiral (Vanessa atalanta).
Rumex fueginus,Golden Dock,Polygonaceae,Perennial,"Spring,Summer",Yellow,1.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam",,Moderate,"Fruit,Pollinator",Butterflies,No,0.0,Garden,
Rumex occidentalis,Western Dock,Polygonaceae,Perennial,"Spring,Summer",Burgundy,2.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam,Sand",,Moderate,,No data,No,0.0,Garden,
Salix lasiandra,Yellow Willow,Salicaceae,Tree (deciduous),Spring,Yellow,8.0,SF Native,"Riparian,Wetland,Woodland",Sun,"Clay,Loam,Sand",,Moderate,"Buds/greens,Cover,Cover,Pollinator",Bees;Insects,Yes,1.0,Garden,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).
Salix lasiolepis,Arroyo Willow,Salicaceae,Tree (deciduous),"Spring,Winter",Yellow,8.0,SF Native,"Coastal scrub,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,Low,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).
Salix lutea,Yellow Willow,Salicaceae,Shrub (deciduous),Spring,Yellow,6.0,CA Native,"Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,Moderate,Pollinator,Bees;Butterflies,No,0.0,Garden,"Attracts Dreamy Duskywing (Erynnis icelus), Viceroy (Limenitis archippus), Lorquin's Admiral (Limenitis lorquini), Weidemeyer's Admiral (Limenitis weidemeyerii), Mourning Cloak (Nymphalis antiopa), Western Tiger Swallowtail (Papilio rutulus)."
Salvia apiana,California White Sage,Lamiaceae,Shrub (evergreen),"Spring,Summer",White,2.0,CA Native,"Chaparral,Coastal scrub",Sun,"Clay,Loam,Sand",,,Pollinator,Bees;Birds;Butterflies,No,0.0,Garden;Sidewalk;Roof,
Salvia clevelandii,Cleveland Sage,Lamiaceae,Shrub (evergreen),"Spring,Summer","Blue,Purple",2.0,CA Native,Chaparral,Sun,"Clay,Sand",,,"Cover,Pollinator",Bees;Butterflies;Hummingbirds,Yes,1.0,Garden;Sidewalk;Roof,Very fragrant.
Salvia leucophylla,Coast Purple Sage,Lamiaceae,Shrub (evergreen),Spring,Purple,2.0,CA Native,"Chaparral,Coastal scrub",Sun,"Clay,Loam,Sand,Rock",,,"Cover,Pollinator",Bees;Butterflies;Hummingbirds,Yes,1.0,Garden;Sidewalk;Roof,
Salvia sonomensis,Creeping Sage,Lamiaceae,Perennial,"Spring,Summer","Purple,White",2.0,CA Native,"Chaparral,Woodland",Sun,"Clay,Sand",,,"Cover,Pollinator",Bees;Butterflies;Hummingbirds,No,0.0,Garden;Sidewalk;Roof,Attracts Anna's Hummingbird.
Salvia spathacea,Hummingbird Sage,Lamiaceae,Perennial,"Spring,Summer,Winter",Pink,1.0,SF Native,"Chaparral,Coastal scrub,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Cover,Pollinator",Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Garden;Sidewalk;Roof,Attracts Anna's Hummingbird.
Sambucus nigra ssp. cerulea,Blue Elderberry,Adoxaceae,Shrub (deciduous),"Spring,Summer",White,6.0,SF Native,"Coastal scrub,Riparian,Wetland","Sun,Part shade","Clay,Loam,Sand",,Low,"Cover,Fruit,Nesting,Pollinator",Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Garden,"Plant on the east side. Off-white flowers in spring, blue fruits in early summer. Attracts quail, thrashers, grosbeaks, woodpeckers, orioles, house finshes, and orange-crowned warblers."
Sambucus racemosa var. racemosa,Red Elderberry,Adoxaceae,Shrub (deciduous),Summer,White,6.0,SF Native,"Coastal scrub,Riparian,Woodland","Part shade,Shade","Clay,Loam",,Low,"Cover,Fruit,Pollinator",Bees;Birds;Hummingbirds;Insects,No,0.0,Garden,Plant on the west side.
Schoenoplectus acutus var. occidentalis,Tule,Cyperaceae,Perennial,"Spring,Summer",Brown,2.0,CA Native,Wetland,Sun,"Loam,Sand",,Moderate,,No data,Yes,1.0,Garden,
Schoenoplectus californicus,California Bulrush,Cyperaceae,Perennial,Spring,Brown,2.0,SF Native,Wetland,Sun,"Loam,Sand",,Moderate,,No data,Yes,1.0,Garden,
Schoenoplectus pungens var. badius,Common Threesquare,Cyperaceae,Perennial,"Spring,Summer",Burgundy,2.0,SF Native,Wetland,Sun,"Clay,Loam,Sand",,Moderate,,No data,Yes,1.0,Garden,
Scrophularia californica,California Bee Plant,Scrophulariaceae,Perennial,"Spring,Winter",Burgundy,1.0,SF Native,"Coastal scrub,Dunes,Riparian,Woodland","Sun,Part shade","Clay,Loam,Sand",,,Pollinator,Bees;Birds;Butterflies;Hummingbirds,Yes,1.0,Garden;Roof,Attracts Variable Checkerspot (Euphydryas chalcedona) and Common Buckeye (Junonia coenia).
Sedum spathulifolium,Broadleaf Stonecrop,Crassulaceae,Succulent,"Spring,Summer",Yellow,0.2,SF Native,"Chaparral,Coastal scrub,Woodland","Sun,Part shade","Clay,Loam",,Low,"Buds/greens,Cover",Butterflies;Insects,yes,1.0,Garden;Roof,Needs water in winter / spring.
Senecio hydrophilus,Marsh Ragwort,Asteraceae,Perennial,"Spring,Summer",Yellow,2.0,CA Native,"Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,Moderate,,No data,Yes,1.0,Garden,
Sequoia sempervirens,Redwood,Cupressaceae,Tree (evergreen),"Summer,Fall",Yellow,8.0,CA Native,Woodland,"Sun,Part shade,Shade","Clay,Loam",,Moderate,Nesting,Birds;Butterflies,No,0.0,Garden,
Sisyrinchium bellum,Blue-eyed Grass,Iridaceae,Perennial,Spring,Indigo,1.0,SF Native,"Coastal scrub,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,,,No data,Yes,1.0,Garden;Roof,
Solidago californica,Goldenrod,Asteraceae,Perennial,"Summer,Fall",Yellow,1.0,SF Native,"Coastal scrub,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,,"Buds/greens,Pollinator",Bees;Butterflies;Insects,Yes,1.0,Sidewalk;Garden,
Solidago spathulata,Dune Goldenrod,Asteraceae,Perennial,"Spring,Summer,Fall",Yellow,1.0,SF Native,"Coastal scrub,Dunes","Sun,Part shade","Clay,Loam,Sand",,,"Buds/greens,Pollinator",Bees;Butterflies;Insects,Yes,1.0,Sidewalk;Garden,Attracts Monarch Butterfly (Danaus plexippus).
Stipa pulchra,Purple Needlegrass,Poaceae,Grass,Spring,"Purple,Yellow",1.0,SF Native,"Chaparral,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,,Nesting,Bees;Birds,Yes,1.0,Garden;Roof,Indispensable.
Wyethia angustifolia,Narrowleaf Mule Ears,Asteraceae,Perennial,"Spring,Summer",Yellow,1.0,SF Native,"Chaparral,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,,Pollinator,Bees;Butterflies,No,0.0,Garden,Attracts endangered Fender’s Blue Butterfly.
Thymus spp.,Thyme,Lamiaceae,Perennial,,,1.0,Exotic,,Sun,,,Low,Pollinator,Birds,,,Garden,
Agrostis pallens,Bentgrass,Poaceae,Grass,Spring,,1.0,SF Native,"Chaparral,Coastal scrub,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,Low,,Birds;Butterflies,Yes,1.0,Garden;Roof,
Artemisia douglasiana,Mugwort,Asteraceae,Perennial,"Summer,Fall",White,1.0,SF Native,"Chaparral,Coastal scrub,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam",,Low,,Birds;Butterflies,Yes,1.0,Garden;Roof,
Carex barbarae,Santa Barbara Sedge,Cyperaceae,Grass,Summer,,1.0,CA Native,"Coastal scrub,Grassland/prairie,Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,Moderate,,Birds;Butterflies,Yes,1.0,Garden,Good ground cover
Carpenteria californica,Bush Anemone,Hydrangeaceae,Shrub (evergreen),Summer,White,2.0,CA Native,,"Sun,Part shade","Loam,Sand",,Moderate,"Cover,Pollinator",Bees:Birds;Butterflies;insects,Yes,1.0,Sidewalk;Garden,CNPS Rare Plant; State listed as Threatened
Cercocarpus betuloides,Mountain Mahogany,Rosaceae,Shrub (evergreen),Spring,Yellow,3.0,CA Native,"Chaparral,Woodland",Sun,"Clay,Loam,Sand",,,Cover,"Bees,Butterflies;Hummingbirds",Yes,1.0,Garden,
